�..UniqueID,Yearplanted.x,RowTree,Current.name,TaxonoriginalDN,Section,Collector,Population,FieldID,Regeneration.Strategy,AICorrected,MAT,MAP,Drought2019Scale.mean,Drought2019Scale.sd,Drought2019Scale.l,Drought2020Scale.mean,Drought2020Scale.sd,Drought2020Scale.l,AridityClass,Sampled.ANU,Threatened.NSW
NA,1993,R029/T06,Eucalyptus flindersii,Eucalyptus flindersii,Exsertaria,-,"Devils Peak, SA",,Lignotuber,0.1907,16.23333,432,0,NA,NA,0.5,NA,NA,Arid,,
NA,1993,R029/T07,Eucalyptus flindersii,Eucalyptus flindersii,Exsertaria,-,"Devils Peak, SA",,Lignotuber,0.1907,16.23333,432,0,NA,NA,0.5,NA,NA,Arid,,
NA,1993,R029/T09,Eucalyptus flindersii,Eucalyptus flindersii,Exsertaria,-,"Devils Peak, SA",,Lignotuber,0.1907,16.23333,432,0,NA,NA,0.5,NA,NA,Arid,,
545,1994,R039/T09,Eucalyptus lucasii,Eucalyptus lucasii,Adnataria,D.Nicolle,"Wiluna, WA",CCA0499,Lignotuber,0.0911,21.86667,275,0,0,4,0,0,4,Arid,,
545,1994,R039/T11,Eucalyptus lucasii,Eucalyptus lucasii,Adnataria,D.Nicolle,"Wiluna, WA",CCA0501,Lignotuber,0.0911,21.86667,275,0,0,4,0,0,4,Arid,,
545,1994,R039/T12,Eucalyptus lucasii,Eucalyptus lucasii,Adnataria,D.Nicolle,"Wiluna, WA",CCA0502,Lignotuber,0.0911,21.86667,275,0,0,4,0,0,4,Arid,,
482,1994,R040/T12,Eucalyptus porosa,Eucalyptus porosa,Adnataria,D.Nicolle,"Mt Wudinna, SA",CCA0525,Combination,0.1605,16.8875,334,0,0,4,0,0,4,Arid,,
482,1994,R040/T12,Eucalyptus porosa,Eucalyptus porosa,Adnataria,D.Nicolle,"Mt Wudinna, SA",CCA0525,Combination,0.1605,16.8875,334,0,0,4,0,0,4,Arid,x,
482,1994,R040/T14,Eucalyptus porosa,Eucalyptus porosa,Adnataria,D.Nicolle,"Mt Wudinna, SA",CCA0527,Combination,0.1605,16.8875,334,0,0,4,0,0,4,Arid,,
482,1994,R040/T15,Eucalyptus porosa,Eucalyptus porosa,Adnataria,D.Nicolle,"Mt Wudinna, SA",CCA0528,Combination,0.1605,16.8875,334,0,0,4,0,0,4,Arid,,
427,1994,R042/T08,Eucalyptus sparsa,Eucalyptus sparsa,Adnataria,D.Nicolle,"Everard Ranges, SA",CCA0572,Lignotuber,0.0956,19.7625,276,0,0,4,0,0,4,Arid,x,
427,1994,R042/T10,Eucalyptus sparsa,Eucalyptus sparsa,Adnataria,D.Nicolle,"Everard Ranges, SA",CCA0573,Lignotuber,0.0956,19.7625,276,0,0,4,0,0,4,Arid,,
