Taxon,Collector,Collector's #,Mother tree generalised location collected,Latitude degrees (south),Latitude minutes (south),Latitude seconds (south),Longitude degrees (east),Longitude minutes (east),Longitude seconds (east),Row #,Tree #,Status in Feb 2016,Drought stress (June 2019),Time since death (June 2019),2006 dieback/death,Maturity at June 2019,Year planted,RowTree,,,
Eucalyptus suggrandis subsp. promiscua,D.Nicolle,311,"Dragon Rocks, WA",32,45,2,119,5,17,10,1,Alive,None evident,,None evident,Flowered,1993,R010/T01,,,
Eucalyptus leptopoda subsp. arctata,D.Nicolle,291,"Ballidu, WA",30,35,19,116,45,25,10,10,Dead,,,,,1993,R010/T10,,,
Eucalyptus leptopoda subsp. arctata,D.Nicolle,291,"Ballidu, WA",30,35,19,116,45,25,10,11,Alive,None evident,,None evident,,1993,R010/T11,,,
Eucalyptus leptopoda subsp. arctata,D.Nicolle,291,"Ballidu, WA",30,35,19,116,45,25,10,12,Alive,None evident,,None evident,,1993,R010/T12,,,
Eucalyptus steedmanii,D.Nicolle,317,"Forrestania, WA",32,28,54,119,40,36,10,13,Alive,None evident,,None evident,Flowered,1993,R010/T13,,,
Eucalyptus steedmanii,D.Nicolle,317,"Forrestania, WA",32,28,54,119,40,36,10,14,Alive,None evident,,None evident,Flowered,1993,R010/T14,,,
Eucalyptus steedmanii,D.Nicolle,317,"Forrestania, WA",32,28,54,119,40,36,10,15,Alive,None evident,,None evident,Flowered,1993,R010/T15,,,
Eucalyptus steedmanii,D.Nicolle,317,"Forrestania, WA",32,28,54,119,40,36,10,16,Dead,,,,,1993,R010/T16,,,
Eucalyptus myriadena,D.Nicolle,316,"Hyden, WA",32,27,0,118,52,2,10,17,Alive,None evident,,None evident,Flowered,1993,R010/T17,,,
Eucalyptus myriadena,D.Nicolle,316,"Hyden, WA",32,27,0,118,52,2,10,18,Alive,None evident,,None evident,Flowered,1993,R010/T18,,,
Eucalyptus myriadena,D.Nicolle,316,"Hyden, WA",32,27,0,118,52,2,10,19,Alive,None evident,,None evident,Flowered,1993,R010/T19,,,
