UniqueID,Yearplanted,RowTree,Collector,Population,Status,Current.name,FieldID,Status.1,Observations,TaxonoriginalDN,Section,Regeneration.Strategy,AICorrected,MAT,MAP,Drought2019Scale.mean,Drought2019Scale.sd,Drought2019Scale.l,Drought2020Scale.mean,Drought2020Scale.sd,Drought2020Scale.l,AridityClass,Victoria ,Anne,Sampled.ANU,Threatened NSW,Final
9999,1993,R029/T06,-,"Devils Peak, SA",Alive,Eucalyptus flindersii,,,,Eucalyptus flindersii,Exsertaria,Lignotuber,0.1907,16.23333,432,0,,,0.5,,,Arid,,x,,,x
9999,1993,R029/T07,-,"Devils Peak, SA",Alive,Eucalyptus flindersii,,,,Eucalyptus flindersii,Exsertaria,Lignotuber,0.1907,16.23333,432,0,,,0.5,,,Arid,,x,,,x
9999,1993,R029/T09,-,"Devils Peak, SA",Alive,Eucalyptus flindersii,,,,Eucalyptus flindersii,Exsertaria,Lignotuber,0.1907,16.23333,432,0,,,0.5,,,Arid,,x,,,x
143,1993,R11/T27,,"Lake Gilmore, WA",,Eucalyptus melanoxylon,,,,Eucalyptus melanoxylon,Dumaria,Combination,0.1477,17.03750038,290,0,,,0,,,Arid,X,,,,x
143,1993,R11/T28,,"Lake Gilmore, WA",,Eucalyptus melanoxylon,,,,Eucalyptus melanoxylon,Dumaria,Combination,0.1477,17.03750038,290,0,,,0,,,Arid,X,,,,x
143,1993,R11/T29,,"Lake Gilmore, WA",,Eucalyptus melanoxylon,,,,Eucalyptus melanoxylon,Dumaria,Combination,0.1477,17.03750038,290,0,,,0,,,Arid,X,,,,x
616,1994,R016/T41,,"Wingello, NSW",,Eucalyptus aquatica,,,,Eucalyptus aquatica,Maidenaria,Combination,0.673,13.20417,929,2.333333333,,,2.333333333,,,Humid,X,,,X,x
616,1994,R016/T42,,"Wingello, NSW",,Eucalyptus aquatica,,,,Eucalyptus aquatica,Maidenaria,Combination,0.673,13.20417,929,2.333333333,,,2.333333333,,,Humid,X,,,X,x
616,1994,R016/T43,,"Wingello, NSW",,Eucalyptus aquatica,,,,Eucalyptus aquatica,Maidenaria,Combination,0.673,13.20417,929,2.333333333,,,2.333333333,,,Humid,X,,,X,x
545,1994,R039/T09,D.Nicolle,"Wiluna, WA",Alive,Eucalyptus lucasii,CCA0499,OK,,Eucalyptus lucasii,Adnataria,Lignotuber,0.0911,21.86667,275,0,0,4,0,0,4,Arid,X,x,,,x
545,1994,R039/T10,D.Nicolle,"Wiluna, WA",Alive,Eucalyptus lucasii,CCA0500,OK,,Eucalyptus lucasii,Adnataria,Lignotuber,0.0911,21.86667,275,0,0,4,0,0,4,Arid,X,x,,,x
