RowTree,d13C,totalN,totalC,CurrentName,Voucher,Provenance,YearPlanted,FieldID,DNNumber,Taxon,Collector,Collector.s..,Latitude.degrees..south.,Latitude.minutes..south.,Latitude.seconds..south.,Longitude.degrees..east.,Longitude.minutes..east.,Longitude.seconds..east.,Row,Tree,Status.in.Feb.2016,Drought.stress..June.2019.,Time.since.death..June.2019.,X2006.dieback.death,Maturity.at.June.2019
R029/T06,-26.99,1.2,48,Eucalyptus flindersii,-,"Devils Peak, SA",1993,CCA0475,NA,Eucalyptus flindersii,-,-,32,24,53,137,59,17,29,6,Alive,None evident,,None evident,Flowered
R029/T07,-26.25,1,48.4,Eucalyptus flindersii,-,"Devils Peak, SA",1993,CCA0476,NA,Eucalyptus flindersii,-,-,32,24,53,137,59,17,29,7,Alive,None evident,,None evident,Flowered
R029/T09,-26.37,1.4,49.1,Eucalyptus flindersii,-,"Devils Peak, SA",1993,CCA0478,NA,Eucalyptus flindersii,-,-,32,24,53,137,59,17,29,9,Alive,None evident,,None evident,Flowered
R011/T27,-28.55,1.1,47.1,Eucalyptus melanoxylon,DN 143,"Lake Gilmore, WA",1993,CCA0073,143,Eucalyptus melanoxylon,D.Nicolle,143,32,40,16,121,32,23,11,27,Alive,None evident,,None evident,Flowered
R011/T28,-26.34,0.9,48.1,Eucalyptus melanoxylon,DN 143,"Lake Gilmore, WA",1993,CCA0074,143,Eucalyptus melanoxylon,D.Nicolle,143,32,40,16,121,32,23,11,28,Alive,None evident,,None evident,Flowered
R011/T30,-26.54,1.1,49.8,Eucalyptus melanoxylon,DN 143,"Lake Gilmore, WA",1993,CCA0075,143,Eucalyptus melanoxylon,D.Nicolle,143,32,40,16,121,32,23,11,30,Alive,None evident,,None evident,Flowered
R016/T41,-27.17,1.6,49.7,Eucalyptus camphora subsp. camphora,DN 616,"Wingello, NSW",1994,CCA0215,616,Eucalyptus camphora subsp. camphora (E. aquatica),D.Nicolle,616,34,39,26,150,13,1,16,41,Alive,Moderate,,Severe,Flowered
R016/T42,-29.19,1.6,48.5,Eucalyptus camphora subsp. camphora,DN 616,"Wingello, NSW",1994,CCA0216,616,Eucalyptus camphora subsp. camphora (E. aquatica),D.Nicolle,616,34,39,26,150,13,1,16,42,Alive,Moderate,,Severe,Flowered
R016/T43,-29.66,1.4,49.4,Eucalyptus camphora subsp. camphora,DN 616,"Wingello, NSW",1994,CCA0217,616,Eucalyptus camphora subsp. camphora (E. aquatica),D.Nicolle,616,34,39,26,150,13,1,16,43,Alive,Severe,,Severe,Flowered
R039/T09,-26.56,1.7,49.8,Eucalyptus lucasii,DN 545,"Wiluna, WA",1994,CCA0499,545,Eucalyptus lucasii,D.Nicolle,545,26,35,28,120,6,59,39,9,Alive,None evident,,None evident,Flowered
R039/T11,-25.84,1.5,50.5,Eucalyptus lucasii,DN 545,"Wiluna, WA",1994,CCA0501,545,Eucalyptus lucasii,D.Nicolle,545,26,35,28,120,6,59,39,11,Alive,None evident,,None evident,Flowered
R039/T12,-25.41,1.4,48.7,Eucalyptus lucasii,DN 545,"Wiluna, WA",1994,CCA0502,545,Eucalyptus lucasii,D.Nicolle,545,26,35,28,120,6,59,39,12,Alive,None evident,,None evident,Flowered
R040/T12,-28.61,1.5,49.1,Eucalyptus porosa,DN 482,"Mt Wudinna, SA",1994,CCA0525,482,Eucalyptus porosa,D.Nicolle,482,32,59,9,135,32,49,40,12,Alive,None evident,,None evident,Flowered
R040/T14,-27.29,1.3,50.2,Eucalyptus porosa,DN 482,"Mt Wudinna, SA",1994,CCA0527,482,Eucalyptus porosa,D.Nicolle,482,32,59,9,135,32,49,40,14,Alive,None evident,,None evident,Flowered
R040/T15,-30.39,1.1,50.3,Eucalyptus porosa,DN 482,"Mt Wudinna, SA",1994,CCA0528,482,Eucalyptus porosa,D.Nicolle,482,32,59,9,135,32,49,40,15,Alive,None evident,,None evident,Flowered
R041/T32,-28.4,0.7,48.2,Eucalyptus stoatei,DN 181,"Jerdacuttup, WA",1994,CCA0564,181,Eucalyptus stoatei,D.Nicolle,181,33,43,33,120,23,27,41,32,Alive,None evident,,None evident,Flowered
R041/T33,-28.42,0.8,50.9,Eucalyptus stoatei,DN 181,"Jerdacuttup, WA",1994,CCA0565,181,Eucalyptus stoatei,D.Nicolle,181,33,43,33,120,23,27,41,33,Alive,None evident,,None evident,Flowered
R041/T34,-27.64,0.8,50.6,Eucalyptus stoatei,DN 181,"Jerdacuttup, WA",1994,CCA0566,181,Eucalyptus stoatei,D.Nicolle,181,33,43,33,120,23,27,41,34,Alive,None evident,,None evident,Flowered
R042/T08,-25.6,1,50.6,Eucalyptus sparsa,DN 427,"Everard Ranges, SA",1994,CCA0572,427,Eucalyptus sparsa,D.Nicolle,427,27,0,34,132,30,56,42,8,Alive,None evident,,None evident,Flowered
