RowTree,Sample,d13C,totalN,totalC
R029/T06,R29-T06.raw,-26.99,1.2,48.0
R029/T07,R29-T07.raw,-26.25,1.0,48.4
R029/709,R29-709.raw,-26.37,1.4,49.1
R011/T27,R11-T27.raw,-28.55,1.1,47.1
R011/T28,R11-T28.raw,-26.34,0.9,48.1
R011/T30,R11-T30.raw,-26.54,1.1,49.8
R016/T41,R16-T41.raw,-27.17,1.6,49.7
R016/T42,R16-T42.raw,-29.19,1.6,48.5
R016/T43,R16-T43.raw,-29.66,1.4,49.4
R039/T09,R39-T09.raw,-26.56,1.7,49.8
R039/T11,R39-T11.raw,-25.84,1.5,50.5
R039/T12,R39-T12.raw,-25.41,1.4,48.7
R040/T12,R40-T12.raw,-28.61,1.5,49.1
R040/T14,R40-T14.raw,-27.29,1.3,50.2
R040/T15,R40-T15.raw,-30.39,1.1,50.3
R041/T32,R41-T32.raw,-28.40,0.7,48.2
R041/T33,R41-T33.raw,-28.42,0.8,50.9
R041/T34,R41-T34.raw,-27.64,0.8,50.6
R042/T08,R42-T08.raw,-25.60,1.0,50.6
R048/T10,R48-T10.raw,-25.49,1.2,49.0
R042/T11,R42-T11.raw,-25.44,1.1,50.7
R042/T32,R42-T32.raw,-26.20,0.8,50.4
R042/T34,R42-T34.raw,-28.02,0.8,49.7
R044/T01,R44-T01.raw,-28.82,1.0,49.5
R044/T03,R44-T03.raw,-27.16,1.3,49.3
R044/T04,R44-T04.raw,-28.64,0.9,49.5
R045/T14,R45-T14.raw,-29.75,0.8,47.2
R045/T15,R45-T15.raw,-29.15,0.9,47.7
R045/T16,R45-T16.raw,-29.13,1.0,48.6
R046/T36,R46-T36.raw,-29.39,1.1,49.3
R047/T05,R47-T05.raw,-28.40,1.1,48.5
R047/T06,R47-T06.raw,-27.45,1.3,49.8
R047/T08,R47-T08.raw,-28.47,1.1,50.1
R047/T19,R47-T19.raw,-28.98,1.0,48.3
R047/T20,R47-T20.raw,-28.83,1.1,48.9
R047/T21,R47-T21.raw,-28.13,1.2,49.3
R048/T13,R48-T13.raw,-25.90,0.9,50.0
R048/T14,R48-T14.raw,-28.91,1.0,48.2
R048/T15,R48-T15.raw,-27.78,1.2,48.3
R048/T18,R48-T18.raw,-28.75,1.0,47.7
R048/T19,R48-T19.raw,-29.09,0.9,47.0
R048/T22,R48-T22.raw,-29.56,1.1,49.2
R048/T23,R48-T23.raw,-29.80,0.9,49.3
R048/T24,R48-T24.raw,-28.80,1.0,49.9
R048/T25,R48-T25.raw,-28.27,1.3,48.7
R048/T28,R48-T28.raw,-28.65,0.8,50.7
R048/T27,R48-T27.raw,-27.32,1.0,50.4
R049/T01,R49-T01.raw,-28.06,1.0,48.9
R049/T02,R49-T02.raw,-28.57,1.3,50.2
R049/T03,R49-T03.raw,-28.79,1.0,49.6
R049/T05,R49-T05.raw,-27.83,1.0,47.4
R049/T06,R49-T06.raw,-28.04,1.0,46.7
R049/T08,R49-T08.raw,-29.47,1.0,49.1
R049/T15,R49-T15.raw,-26.84,1.1,49.8
R049/T17,R49-T17.raw,-28.83,0.8,48.0
R049/T20,R49-T20.raw,-28.74,1.2,50.2
R049/T21,R49-T21.raw,-28.49,1.2,50.0
R049/T23,R49-T23.raw,-28.36,1.2,50.3
R049/T24,R49-T24.raw,-28.52,0.8,48.3
R049/T25,R49-T25.raw,-28.39,0.7,47.8
R049/T26,R49-T26.raw,-28.13,0.8,47.3
R050/T01,R50-T01.raw,-28.24,0.9,46.9
R050/T03,R50-T03.raw,-28.23,1.3,51.0
R050/T04,R50-T04.raw,-27.47,1.4,49.1
R050/T06,R50-T06.raw,-29.08,1.2,49.9
R050/T09,R50-T09.raw,-28.31,1.2,46.4
R050/T11,R50-T11.raw,-27.12,1.1,49.7
R050/T15,R50-T15.raw,-30.25,1.1,48.6
R050/T13,R50-T13.raw,-28.39,0.7,46.8
R050/T16,R50-T16.raw,-29.17,1.3,47.7
R050/T21,R50-T21.raw,-26.11,1.2,49.2
R050/T22,R50-T22.raw,-26.85,1.2,49.1
R050/T23,R50-T23.raw,-28.77,1.4,49.3
R050/T33,R50-T33.raw,-27.40,1.4,49.8
R050/T35,R50-T35.raw,-28.02,0.8,47.5
R050/T36,R50-T36.raw,-27.93,1.1,48.9
R051/T01,R51-T01.raw,-29.96,1.2,50.6
R051/T03,R51-T03.raw,-29.89,1.5,49.2
R051/T04,R51-T04.raw,-29.28,1.5,49.3
R051/T07,R51-T07.raw,-28.33,1.0,47.9
R051/T05,R51-T05.raw,-29.05,1.0,49.0
R051/T08,R51-T08.raw,-28.52,1.0,48.4
R051/T14,R51-T14.raw,-26.20,1.3,51.8
R051/T15,R51-T15.raw,-28.27,1.0,51.3
R051/T16,R51-T16.raw,-27.24,2.0,50.1
R052/T01,R52-T01.raw,-25.32,1.0,50.3
R052/T04,R52-T04.raw,-27.96,1.7,48.8
R052/T06,R52-T06.raw,-28.09,1.5,49.5
R052/T07,R52-T07.raw,-28.45,1.0,49.3
R052/T08,R52-T08.raw,-29.22,1.0,50.1
R052/T09,R52-T09.raw,-29.01,1.4,49.4
R052/T10,R52-T10.raw,-30.57,1.0,50.0
R052/T12,R52-T12.raw,-30.01,1.4,51.4
R053/T05,R53-T05.raw,-28.64,1.2,50.1
R053/T06,R53-T06.raw,-30.20,0.9,50.3
R053/T08,R53-T08.raw,-30.63,0.7,50.5
R053/T09,R53-T09.raw,-28.94,1.2,50.6
R053/T10,R53-T10.raw,-27.84,0.9,49.4
R053/T11,R53-T11.raw,-27.77,1.0,49.7
R053/T17,R53-T17.raw,-28.02,1.4,50.0
R053/T18,R53-T18.raw,-27.67,1.5,50.1
R053/T19,R53-T19.raw,-27.60,1.6,50.1
R053/T25,R53-T25.raw,-32.04,0.8,51.0
R053/T26,R53-T26.raw,-29.96,0.9,49.9
R053/T27,R53-T27.raw,-27.14,1.3,49.9
R053/T33,R53-T33.raw,-30.06,1.3,48.8
R053/T35,R53-T35.raw,-28.01,1.5,49.3
R053/T36,R53-T36.raw,-28.25,1.1,48.4
R053/T13,R53-T13.raw,-29.03,1.1,49.0
R054/T14,R54-T14.raw,-29.16,0.9,47.1
R054/T15,R54-T15.raw,-27.48,1.1,49.2
R054/T16,R54-T16.raw,-30.16,1.1,49.5
R054/T18,R54-T18.raw,-28.70,1.0,49.7
R054/T19,R54-T19.raw,-28.67,1.2,50.5
R054/T21,R54-T21.raw,-25.06,1.3,46.2
R054/T22,R54-T22.raw,-28.95,1.4,47.8
R054/T23,R54-T23.raw,-29.54,1.0,47.5
R056/T08,R56-T08.raw,-28.54,1.2,49.4
R056/T09,R56-T09.raw,-27.32,1.1,49.3
R056/T10,R56-T10.raw,-27.89,1.3,50.2
R058/T01,R58-T01.raw,-27.38,0.9,49.9
R058/T03,R58-T03.raw,-26.55,0.8,51.2
R058/T04,R58-T04.raw,-29.19,0.8,51.4
R058/T05,R58-T05.raw,-29.07,0.9,50.1
R058/T06,R58-T06.raw,-29.38,0.8,49.8
R058/T12,R58-T12.raw,-28.43,1.2,50.1
R058/T14,R58-T14.raw,-27.58,0.9,50.2
R058/T15,R58-T15.raw,-26.96,1.2,49.7
R059/T12,R59-T12.raw,-29.35,1.1,48.7
R059/T13,R59-T13.raw,-29.05,1.1,49.9
R059/15,R59-15.raw,-28.14,1.0,49.1
R060/T01,R60-T01.raw,-27.17,1.2,50.6
R060/T02,R60-T02.raw,-29.23,1.0,48.5
R060/T03,R60-T03.raw,-27.48,1.5,51.4
R060/T29,R60-T29.raw,-26.35,1.9,52.4
R060/T30,R60-T30.raw,-26.49,1.7,50.2
R060/T32,R60-T32.raw,-28.17,1.9,50.2
R060/T33,R60-T33.raw,-28.99,1.2,49.5
R060/T34,R60-T34.raw,-29.47,0.9,46.7
R060/T36,R60-T36.raw,-29.34,1.1,47.9
R061/T13,R61-T13.raw,-27.08,1.2,48.4
R061/T14,R61-T14.raw,-27.03,1.4,49.7
R061/T15,R61-T15.raw,-27.65,1.4,50.1
R061/T29,R61-T29.raw,-29.74,1.3,49.0
R061/T30,R61-T30.raw,-28.63,1.7,50.3
R061/T31,R61-T31.raw,-27.92,1.2,51.1
R070/T13,R70-T13.raw,-29.44,0.7,48.9
R070/T15,R70-T15.raw,-28.89,0.7,50.7
R062/T25,R62-T25.raw,-28.45,1.4,48.0
R062/T26,R62-T26.raw,-28.20,1.5,49.1
R062/T27,R62-T27.raw,-28.27,1.2,47.2
R063/T17,R63-T17.raw,-30.06,0.9,48.3
R063/T19,R63-T19.raw,-29.04,1.1,49.1
R063/T20,R63-T20.raw,-28.93,0.9,51.5
R066/T19,R66-T19.raw,-28.44,0.8,47.1
R066/T20,R66-T20.raw,-28.31,0.8,50.5
R066/T21,R66-T21.raw,-27.62,1.3,48.7
R066/T25,R66-T25.raw,-30.26,1.4,48.4
R066/T26,R66-T26.raw,-28.84,1.7,49.8
R066/T27,R66-T27.raw,-28.83,1.3,48.5
R066/T29,R66-T29.raw,-28.51,1.1,50.0
R066/T32,R66-T32.raw,-27.94,1.0,51.0
R066/T33,R66-T33.raw,-29.80,1.0,50.3
R066/T34,R66-T34.raw,-28.82,0.9,49.8
R066/T36,R66-T36.raw,-28.33,1.3,49.0
R066/T37,R66-T37.raw,-28.53,0.9,51.1
R068/T10,R68-T10.raw,-27.69,1.5,49.0
R069/T23,R69-T23.raw,-28.09,1.4,48.9
R069/T25,R69-T25.raw,-27.66,1.0,48.3
R069/T26,R69-T26.raw,-27.99,1.0,50.0
R069/T32,R69-T32.raw,-26.09,1.5,49.2
R069/T34,R69-T34.raw,-26.71,1.9,49.3
R065/T15,R65-T15.raw,-27.41,0.7,47.5
R065/T16,R65-T16.raw,-27.16,0.7,50.2
R065/T17,R65-T17.raw,-27.59,0.7,47.3
R070/T37,R70-T37.raw,-27.89,1.1,51.1
R070/T40,R70-T40.raw,-27.75,0.8,49.0
R071/T08,R71-T08.raw,-26.96,0.9,51.4
R071/T10,R71-T10.raw,-27.68,0.8,50.8
R071/T11,R71-T11.raw,-27.63,0.9,50.8
R071/T13,R71-T13.raw,-27.02,0.8,52.6
R071/T15,R71-T15.raw,-28.48,0.9,52.1
R071/T28,R71-T28.raw,-27.21,1.5,51.0
R071/T29,R71-T29.raw,-26.95,1.6,51.0
R071/T30,R71-T30.raw,-28.22,1.3,52.3
R072/T04,R72-T04.raw,-27.17,1.1,52.2
R072/T05,R72-T05.raw,-27.60,1.1,50.6
R072/T07,R72-T07.raw,-25.87,0.7,52.6
R073/T01,R73-T01.raw,-28.24,1.0,50.2
R073/T02,R73-T02.raw,-28.96,1.0,52.1
R073/T03,R73-T03.raw,-29.47,1.0,52.0
R074/T13,R74-T13.raw,-29.03,1.2,49.8
R074/T15,R74-T15.raw,-28.12,1.3,49.4
R074/T16,R74-T16.raw,-28.37,1.0,48.3
R074/T28,R74-T28.raw,-28.12,1.0,51.6
R074/T30,R74-T30.raw,-27.24,1.2,51.0
R074/T31,R74-T31.raw,-29.45,1.0,49.7
R075/T02,R75-T02.raw,-29.50,1.1,51.4
R075/T04,R75-T04.raw,-28.54,0.8,51.8
R075/T05,R75-T05.raw,-28.60,0.9,50.9
R075/T15,R75-T15.raw,-25.26,1.6,50.1
R075/T16,R75-T16.raw,-27.70,1.2,52.0
R075/T21,R75-T21.raw,-26.88,1.2,48.3
R075/T22,R75-T22.raw,-25.30,1.1,49.4
R076/T23,R76-T23.raw,-25.67,0.9,48.5
R085/T05,R85-T05.raw,-27.35,1.3,53.2
R085/T06,R85-T06.raw,-28.76,1.0,53.8
R085/T07,R85-T07.raw,-26.96,0.9,51.9
R085/T17,R85-T17.raw,-28.88,1.0,53.0
R085/T18,R85-T18.raw,-27.98,0.9,52.4
R085/T19,R85-T19.raw,-30.31,0.8,52.4
R086/T16,R86-T16.raw,-29.78,1.5,51.7
R086/T17,R86-T17.raw,-28.83,1.4,50.5
R087/T07,R87-T07.raw,-29.32,1.1,47.3
R087/T08,R87-T08.raw,-29.04,1.2,47.5
R087/T09,R87-T09.raw,-28.50,1.0,48.3
R087/T22,R87-T22.raw,-30.26,1.1,48.2
R087/T25,R87-T25.raw,-29.77,1.2,52.2
R087/T26,R87-T26.raw,-29.26,1.1,51.0
R087/T28,R87-T28.raw,-29.80,1.2,51.3
R087/T30,R87-T30.raw,-29.10,2.1,52.8
R087/T31,R87-T31.raw,-29.21,1.3,50.5
R088/T05,R88-T05.raw,-28.27,1.8,50.5
R088/T06,R88-T06.raw,-29.38,1.2,49.1
R088/T08,R88-T08.raw,-29.23,1.4,49.8
R088/T35,R88-T35.raw,-27.67,1.3,50.7
R088/T37,R88-T37.raw,-28.58,1.0,49.5
R088/T38,R88-T38.raw,-28.17,1.1,50.5
R089/T15,R89-T15.raw,-28.39,1.3,52.8
R089/T16,R89-T16.raw,-27.90,1.0,50.9
R089/T17,R89-T17.raw,-29.68,1.1,52.0
R089/T19,R89-T19.raw,-27.75,0.7,50.4
R089/T20,R89-T20.raw,-27.86,1.0,49.5
R089/T22,R89-T22.raw,-29.90,0.9,51.8
R089/T26,R89-T26.raw,-28.01,1.3,49.4
R089/T27,R89-T27.raw,-28.90,1.0,50.2
R089/T29,R89-T29.raw,-29.22,0.9,50.0
R090/T01,R90-T01.raw,-29.45,1.2,51.1
R090/T09,R90-T09.raw,-26.51,1.4,51.3
R090/T10,R90-T10.raw,-27.85,1.6,51.5
R090/T11,R90-T11.raw,-27.90,1.6,50.8
R090/T17,R90-T17.raw,-29.64,1.2,51.3
R090/T19,R90-T19.raw,-29.67,1.1,51.5
R090/T21,R90-T21.raw,-29.23,1.0,52.3
R090/T22,R90-T22.raw,-28.73,1.2,51.4
R090/T24,R90-T24.raw,-27.35,1.1,52.0
R090/T26,R90-T26.raw,-27.69,1.2,52.9
R090/T27,R90-T27.raw,-28.99,1.4,52.4
R090/T28,R90-T28.raw,-28.38,1.4,52.5
R090/T30,R90-T30.raw,-31.26,1.2,51.0
R090/T31,R90-T31.raw,-30.59,1.3,52.2
R090/T33,R90-T33.raw,-29.06,1.5,52.5
R091/T02,R91-T02.raw,-28.27,0.9,50.5
R091/T03,R91-T03.raw,-28.15,1.2,49.7
R091/T04,R91-T04.raw,-29.15,1.0,48.6
R091/T32,R91-T32.raw,-29.61,0.9,50.5
R091/T33,R91-T33.raw,-28.85,1.0,50.7
R091/T34,R91-T34.raw,-29.46,1.0,51.2
R092/T19,R92-T19.raw,-29.00,1.6,51.8
R092/T20,R92-T20.raw,-29.24,1.2,51.7
R092/T21,R92-T21.raw,-30.26,1.5,56.5
R093/T03,R93-T03.raw,-30.07,1.5,49.3
R093/T04,R93-T04.raw,-27.61,2.1,50.8
R093/T08,R93-T08.raw,-27.53,2.0,50.1
R093/T09,R93-T09.raw,-27.93,1.6,49.8
R093/T12,R93-T12.raw,-29.09,1.6,49.7
R094/T01,R94-T01.raw,-28.30,1.1,51.8
R094/T02,R94-T02.raw,-28.91,1.0,52.3
R094/T03,R94-T03.raw,-29.71,0.8,51.1
R094/T10,R94-T10.raw,-28.82,1.0,52.2
R094/T11,R94-T11.raw,-28.72,1.0,50.6
R094/T12,R94-T12.raw,-28.59,1.4,50.0
R094/T18,R94-T18.raw,-29.22,1.0,50.9
R094/T20,R94-T20.raw,-29.13,0.9,53.7
R094/T21,R94-T21.raw,-29.49,1.3,52.4
R094/T26,R94-T26.raw,-29.15,1.0,51.5
R094/T27,R94-T27.raw,-29.73,1.0,52.4
R095/T02,R95-T02.raw,-27.23,1.3,51.5
R095/T03,R95-T03.raw,-26.94,1.2,50.2
R095/T21,R95-T21.raw,-29.54,1.3,50.7
R095/T22,R95-T22.raw,-28.87,1.3,50.8
R095/T24,R95-T24.raw,-26.77,1.4,49.4
R133/T05,R133-T05.raw,-28.65,1.1,50.1
R133/T06,R133-T06.raw,-28.02,1.1,49.0
R133/T07,R133-T07.raw,-28.76,0.9,49.4
R137/T19,R137-T19.raw,-27.63,1.3,51.8
R137/T20,R137-T20.raw,-27.21,1.3,49.4
R137/T21,R137-T21.raw,-27.96,1.1,50.9
R138/T16,R138-T16.raw,-28.15,1.2,50.7
R138/T17,R138-T17.raw,-28.80,1.2,50.8
R138/T18,R138-T18.raw,-29.95,1.0,51.0
R141/T17,R141-T17.raw,-27.32,0.7,53.7
R141/T18,R141-T18.raw,-27.12,0.8,51.2
R141/T20,R141-T20.raw,-26.85,0.7,53.0
R141/T29,R141-T29.raw,-28.98,1.0,50.9
R141/T30,R141-T30.raw,-28.05,1.1,52.9
R141/T33,R141-T33.raw,-28.96,0.9,51.3
R141/T34,R141-T34.raw,-30.20,1.2,51.4
R141/T35,R141-T35.raw,-28.13,1.1,52.9
R142/T10,R142-T10.raw,-28.40,1.3,49.6
R142/T11,R142-T11.raw,-29.04,1.2,49.7
R142/T12,R142-T12.raw,-28.48,0.9,49.3
R142/T31,R142-T31.raw,-28.38,1.2,49.6
R142/T32,R142-T32.raw,-27.64,1.4,48.9
R142/T33,R142-T33.raw,-25.76,1.3,48.8
R143/T33,R143-T33.raw,-29.43,0.9,50.4
R143/T15,R143-T15.raw,-29.58,1.5,50.4
R143/T16,R143-T16.raw,-28.92,1.5,50.5
R143/T26,R143-T26.raw,-27.44,1.1,51.6
R143/T27,R143-T27.raw,-28.57,1.3,49.6
R143/T28,R143-T28.raw,-29.63,0.8,47.2
R144/T01,R144-T01.raw,-27.89,1.2,51.8
R144/T04,R144-T04.raw,-29.02,0.9,52.8
R144/T28,R144-T28.raw,-27.57,1.2,49.9
R144/T29,R144-T29.raw,-27.86,1.0,48.3
R144/T30,R144-T30.raw,-28.32,1.3,49.9
R148/T01,R148-T01.raw,-28.08,1.4,49.7
R145/T03,R145-T03.raw,-28.36,1.3,49.3
R145/T04,R145-T04.raw,-27.53,1.3,49.9
R083/T20,R83-T20.raw,-29.57,0.9,51.9
R083/T21,R83-T21.raw,-29.92,0.8,49.0
R083/T22,R83-T22.raw,-28.93,1.2,52.7
R084/T17,R84-T17.raw,-28.69,1.0,48.6
R084/T18,R84-T18.raw,-27.32,1.1,50.7
R084/T19,R84-T19.raw,-27.89,1.0,48.9
R150/T01,R150-T01.raw,-29.20,0.9,52.0
R150/T03,R150-T03.raw,-28.24,1.0,52.0
R150/T04,R150-T04.raw,-28.75,1.0,51.8
R150/T09,R150-T09.raw,-27.78,1.0,50.8
R150/T11,R150-T11.raw,-25.79,1.2,50.2
R150/T12,R150-T12.raw,-25.81,1.0,51.2
R151/T09,R151-T09.raw,-27.30,1.8,50.9
R151/T10,R151-T10.raw,-27.66,1.7,51.4
R151/T18,R151-T18.raw,-28.80,0.9,51.2
R151/T19,R151-T19.raw,-29.98,1.0,50.4
R151/T20,R151-T20.raw,-28.76,1.0,50.3
R151/T22,R151-T22.raw,-27.75,1.2,48.4
R151/T23,R151-T23.raw,-28.75,1.2,49.2
R151/T24,R151-T24.raw,-30.84,0.9,49.2
R151/T29,R151-T29.raw,-29.71,0.7,47.9
R151/T30,R151-T30.raw,-30.04,0.8,49.8
R151/T32,R151-T32.raw,-29.47,0.8,50.4
R152/T09,R152-T09.raw,-28.60,1.1,50.3
R152/T10,R152-T10.raw,-26.91,0.9,49.6
R152/T11,R152-T11.raw,-28.72,0.9,51.2
R152/T17,R152-T17.raw,-27.56,0.8,55.1
R152/T19,R152-T19.raw,-29.13,0.8,54.3
R152/T20,R152-T20.raw,-28.79,0.9,54.2
R153/T01,R153-T01.raw,-26.02,1.3,48.6
R153/T02,R153-T02.raw,-27.14,1.2,49.2
R153/T04,R153-T04.raw,-27.62,1.2,49.8
R155/T10,R155-T10.raw,-27.47,1.2,50.4
R155/T11,R155-T11.raw,-28.83,1.2,51.5
R155/T12,R155-T12.raw,-28.04,1.3,50.9
R156/T14,R156-T14.raw,-28.64,1.0,44.9
R156/T15,R156-T15.raw,-29.19,1.1,49.7
R156/T16,R156-T16.raw,-29.77,1.1,50.8
R156/T21,R156-T21.raw,-29.74,1.5,51.1
R156/T23,R156-T23.raw,-28.34,1.6,49.8
R156/T24,R156-T24.raw,-27.98,1.2,48.5
R158/T17,R158-T17.raw,-26.77,1.2,51.1
R158/T19,R158-T19.raw,-26.83,0.9,51.6
R158/T20,R158-T20.raw,-23.99,1.4,51.7
R158/T29,R158-T29.raw,-28.98,1.4,52.5
R158/T30,R158-T30.raw,-29.82,1.9,52.1
R158/T31,R158-T31.raw,-30.24,1.3,52.4
R159/T09,R159-T09.raw,-26.41,0.9,49.9
