RowTree,TaxonoriginalDN,latitude,longitude
R029/T06,Eucalyptus flindersii,-32.41472222,137.9880556
R029/T07,Eucalyptus flindersii,-32.41472222,137.9880556
R029/T09,Eucalyptus flindersii,-32.41472222,137.9880556
R039/T09,Eucalyptus lucasii,-26.59111111,120.1163889
R039/T11,Eucalyptus lucasii,-26.59111111,120.1163889
R039/T12,Eucalyptus lucasii,-26.59111111,120.1163889
R040/T12,Eucalyptus porosa,-32.98583333,135.5469444
R040/T14,Eucalyptus porosa,-32.98583333,135.5469444
R040/T15,Eucalyptus porosa,-32.98583333,135.5469444
R042/T08,Eucalyptus sparsa,-27.00944444,132.5155556
R042/T10,Eucalyptus sparsa,-27.00944444,132.5155556
R042/T11,Eucalyptus sparsa,-27.00944444,132.5155556
R045/T14,Eucalyptus intertexta,-27.03888889,132.5486111
R045/T15,Eucalyptus intertexta,-27.03888889,132.5486111
R045/T16,Eucalyptus intertexta,-27.03888889,132.5486111
R046/T36,Eucalyptus polyanthemos subsp. polyanthemos,-32.69361111,150.0027778
R047/T05,Eucalyptus conica,-32.40388889,150.2222222
R047/T06,Eucalyptus conica,-32.40388889,150.2222222
R047/T08,Eucalyptus conica,-32.40388889,150.2222222
R047/T19,Eucalyptus dawsonii,-32.60861111,150.0747222
R047/T20,Eucalyptus dawsonii,-32.60861111,150.0747222
R047/T21,Eucalyptus dawsonii,-32.60861111,150.0747222
R048/T13,Eucalyptus melliodora,-32.71222222,149.9661111
R048/T14,Eucalyptus melliodora,-32.71222222,149.9661111
R048/T15,Eucalyptus melliodora,-32.71222222,149.9661111
R048/T18,Eucalyptus caleyi subsp. caleyi,-32.40361111,150.2280556
R048/T19,Eucalyptus caleyi subsp. caleyi,-32.40361111,150.2280556
R048/T22,Eucalyptus polybractea,-33.89222222,147.0733333
R048/T23,Eucalyptus polybractea,-33.89222222,147.0733333
R048/T24,Eucalyptus polybractea,-33.89222222,147.0733333
R048/T25,Eucalyptus dwyeri,-32.30194444,150.0472222
R048/T28,Eucalyptus dwyeri,-32.30194444,150.0472222
R048/T27,Eucalyptus dwyeri,-32.30194444,150.0472222
R049/T01,Eucalyptus viridis,-31.56027778,146.5091667
R049/T02,Eucalyptus viridis,-31.56027778,146.5091667
R049/T03,Eucalyptus viridis,-31.56027778,146.5091667
R049/T05,Eucalyptus woollsiana (E. pilligaensis),-27.15111111,150.6586111
R049/T06,Eucalyptus woollsiana (E. pilligaensis),-27.15111111,150.6586111
R049/T08,Eucalyptus woollsiana (E. pilligaensis),-27.15111111,150.6586111
R049/T15,Eucalyptus morrisii,-31.54083333,146.2797222
R049/T17,Eucalyptus melanophloia subsp. melanophloia,-26.26722222,150.0480556
R049/T20,Eucalyptus tereticornis subsp. tereticornis,-24.11138889,151.4316667
R049/T21,Eucalyptus tereticornis subsp. tereticornis,-24.11138889,151.4316667
R049/T23,Eucalyptus tereticornis subsp. tereticornis,-24.11138889,151.4316667
R049/T24,Eucalyptus moluccana,-23.80111111,150.9533333
R049/T25,Eucalyptus moluccana,-23.80111111,150.9533333
R049/T26,Eucalyptus moluccana,-23.80111111,150.9533333
R050/T01,Eucalyptus blakelyi,-29.74583333,151.5605556
R050/T03,Eucalyptus blakelyi,-29.74583333,151.5605556
R050/T04,Eucalyptus blakelyi,-29.74583333,151.5605556
R050/T06,Eucalyptus dealbata,-29.90361111,150.4872222
R050/T09,Eucalyptus dealbata,-30.13972222,150.0677778
R050/T11,Eucalyptus dealbata,-30.13972222,150.0677778
R050/T13,Eucalyptus fibrosa,-29.30222222,152.6447222
R050/T15,Eucalyptus fibrosa,-29.30222222,152.6447222
R050/T16,Eucalyptus fibrosa,-29.30222222,152.6447222
R050/T21,Eucalyptus kabiana,-26.895,152.8808333
R050/T22,Eucalyptus kabiana,-26.895,152.8808333
R050/T23,Eucalyptus kabiana,-26.895,152.8808333
R051/T01,Eucalyptus elegans,-27.11666667,150.6933333
R051/T03,Eucalyptus elegans,-27.11666667,150.6933333
R051/T04,Eucalyptus elegans,-27.11666667,150.6933333
R051/T05,Eucalyptus argophloia,-26.63111111,150.7347222
R051/T08,Eucalyptus argophloia,-26.63111111,150.7347222
R051/T07,Eucalyptus argophloia,-26.63111111,150.7347222
R052/T01,Eucalyptus prava,NA,NA
R052/T04,Eucalyptus prava,NA,NA
R052/T06,Eucalyptus amplifolia subsp. sessiliflora,-29.07972222,152.0044444
R052/T07,Eucalyptus amplifolia subsp. sessiliflora,-29.07972222,152.0044444
R052/T08,Eucalyptus amplifolia subsp. sessiliflora,-29.07972222,152.0044444
R052/T09,Eucalyptus sideroxylon,-28.90083333,151.9077778
R052/T10,Eucalyptus sideroxylon,-28.90083333,151.9077778
R052/T12,Eucalyptus sideroxylon,-28.90083333,151.9077778
R053/T05,Eucalyptus nubilis,-27.05611111,150.5094444
R053/T06,Eucalyptus nubilis,-27.05611111,150.5094444
R053/T08,Eucalyptus nubilis,-27.05611111,150.5094444
R053/T09,Eucalyptus paniculata (subsp. matutina),-32.73333333,152.1791667
R053/T10,Eucalyptus paniculata (subsp. matutina),-32.73333333,152.1791667
R053/T11,Eucalyptus paniculata (subsp. matutina),-32.73333333,152.1791667
R053/T17,Eucalyptus amplifolia subsp. amplifolia,-35.09472222,150.1155556
R053/T18,Eucalyptus amplifolia subsp. amplifolia,-35.09472222,150.1155556
R053/T19,Eucalyptus amplifolia subsp. amplifolia,-35.09472222,150.1155556
R053/T25,Eucalyptus dura,-26.3525,150.8680556
R053/T26,Eucalyptus dura,-26.3525,150.8680556
R053/T27,Eucalyptus dura,-26.3525,150.8680556
R053/T33,Eucalyptus panda,-27.1325,150.4833333
R053/T35,Eucalyptus panda,-27.1325,150.4833333
R053/T36,Eucalyptus panda,-27.1325,150.4833333
R054/T13,Eucalyptus siderophloia,-26.13555556,152.5805556
R054/T14,Eucalyptus siderophloia,-26.13555556,152.5805556
R054/T15,Eucalyptus siderophloia,-26.13555556,152.5805556
R054/T16,Eucalyptus cambageana,-24.70666667,150.0144444
R054/T18,Eucalyptus cambageana,-24.70666667,150.0144444
R054/T19,Eucalyptus cambageana,-24.70666667,150.0144444
R054/T21,Eucalyptus orgadophila,-24.57694444,148.9005556
R054/T22,Eucalyptus orgadophila,-24.57694444,148.9005556
R054/T23,Eucalyptus orgadophila,-24.57694444,148.9005556
R056/T08,Eucalyptus parramattensis subsp. decadens,-32.78305556,151.8872222
R056/T09,Eucalyptus parramattensis subsp. decadens,-32.78305556,151.8872222
R056/T10,Eucalyptus parramattensis subsp. decadens,-32.78305556,151.8872222
R058/T04,Eucalyptus hallii,-25.17,152.3722222
R058/T05,Eucalyptus hallii,-25.17,152.3722222
R058/T06,Eucalyptus hallii,-25.17,152.3722222
R058/T12,Eucalyptus ancophila,-30.81638889,152.8533333
R058/T14,Eucalyptus ancophila,-30.81638889,152.8533333
R058/T15,Eucalyptus ancophila,-30.81638889,152.8533333
R059/T12,Eucalyptus populnea subsp. populnea,-27.11666667,150.6933333
R059/T13,Eucalyptus populnea subsp. populnea,-27.11666667,150.6933333
R059/T15,Eucalyptus populnea subsp. populnea,-27.11666667,150.6933333
R060/T01,Eucalyptus vicina,-31.55111111,146.6913889
R060/T02,Eucalyptus vicina,-31.55111111,146.6913889
R060/T03,Eucalyptus vicina,-31.55111111,146.6913889
R060/T29,Eucalyptus interstans,-28.92888889,152.3938889
R060/T30,Eucalyptus interstans,-28.92888889,152.3938889
R060/T32,Eucalyptus interstans,-28.92888889,152.3938889
R061/T13,Eucalyptus fusiformis,-30.9025,152.8533333
R061/T14,Eucalyptus fusiformis,-30.9025,152.8533333
R061/T15,Eucalyptus fusiformis,-30.9025,152.8533333
R061/T29,Eucalyptus fergusonii subsp. fergusonii,-32.24861111,152.1916667
R061/T30,Eucalyptus fergusonii subsp. fergusonii,-32.24861111,152.1916667
