species,section,latitude,longitude
Eucalyptus flindersii,Exsertaria,-32.41472222,137.9880556
Eucalyptus flindersii,Exsertaria,-32.41472222,137.9880556
Eucalyptus flindersii,Exsertaria,-32.41472222,137.9880556
Eucalyptus lucasii,Adnataria,-26.59111111,120.1163889
Eucalyptus lucasii,Adnataria,-26.59111111,120.1163889
Eucalyptus lucasii,Adnataria,-26.59111111,120.1163889
Eucalyptus porosa,Adnataria,-32.98583333,135.5469444
Eucalyptus porosa,Adnataria,-32.98583333,135.5469444
Eucalyptus porosa,Adnataria,-32.98583333,135.5469444
Eucalyptus sparsa,Adnataria,-27.00944444,132.5155556
Eucalyptus sparsa,Adnataria,-27.00944444,132.5155556
Eucalyptus sparsa,Adnataria,-27.00944444,132.5155556
Eucalyptus intertexta,Adnataria,-27.03888889,132.5486111
Eucalyptus intertexta,Adnataria,-27.03888889,132.5486111
Eucalyptus intertexta,Adnataria,-27.03888889,132.5486111
Eucalyptus polyanthemos subsp. polyanthemos,Adnataria,-32.69361111,150.0027778
Eucalyptus conica,Adnataria,-32.40388889,150.2222222
Eucalyptus conica,Adnataria,-32.40388889,150.2222222
Eucalyptus conica,Adnataria,-32.40388889,150.2222222
Eucalyptus dawsonii,Adnataria,-32.60861111,150.0747222
Eucalyptus dawsonii,Adnataria,-32.60861111,150.0747222
Eucalyptus dawsonii,Adnataria,-32.60861111,150.0747222
Eucalyptus melliodora,Adnataria,-32.71222222,149.9661111
Eucalyptus melliodora,Adnataria,-32.71222222,149.9661111
Eucalyptus melliodora,Adnataria,-32.71222222,149.9661111
Eucalyptus caleyi subsp. caleyi,Adnataria,-32.40361111,150.2280556
Eucalyptus caleyi subsp. caleyi,Adnataria,-32.40361111,150.2280556
Eucalyptus polybractea,Adnataria,-33.89222222,147.0733333
Eucalyptus polybractea,Adnataria,-33.89222222,147.0733333
Eucalyptus polybractea,Adnataria,-33.89222222,147.0733333
Eucalyptus dwyeri,Exsertaria,-32.30194444,150.0472222
Eucalyptus dwyeri,Exsertaria,-32.30194444,150.0472222
Eucalyptus dwyeri,Exsertaria,-32.30194444,150.0472222
Eucalyptus viridis,Adnataria,-31.56027778,146.5091667
Eucalyptus viridis,Adnataria,-31.56027778,146.5091667
Eucalyptus viridis,Adnataria,-31.56027778,146.5091667
Eucalyptus woollsiana (E. pilligaensis),Adnataria,-27.15111111,150.6586111
Eucalyptus woollsiana (E. pilligaensis),Adnataria,-27.15111111,150.6586111
Eucalyptus woollsiana (E. pilligaensis),Adnataria,-27.15111111,150.6586111
Eucalyptus morrisii,Exsertaria,-31.54083333,146.2797222
Eucalyptus melanophloia subsp. melanophloia,Adnataria,-26.26722222,150.0480556
Eucalyptus tereticornis subsp. tereticornis,Exsertaria,-24.11138889,151.4316667
Eucalyptus tereticornis subsp. tereticornis,Exsertaria,-24.11138889,151.4316667
Eucalyptus tereticornis subsp. tereticornis,Exsertaria,-24.11138889,151.4316667
Eucalyptus moluccana,Adnataria,-23.80111111,150.9533333
Eucalyptus moluccana,Adnataria,-23.80111111,150.9533333
Eucalyptus moluccana,Adnataria,-23.80111111,150.9533333
Eucalyptus blakelyi,Exsertaria,-29.74583333,151.5605556
Eucalyptus blakelyi,Exsertaria,-29.74583333,151.5605556
Eucalyptus blakelyi,Exsertaria,-29.74583333,151.5605556
Eucalyptus dealbata,Exsertaria,-29.90361111,150.4872222
Eucalyptus dealbata,Exsertaria,-30.13972222,150.0677778
Eucalyptus dealbata,Exsertaria,-30.13972222,150.0677778
Eucalyptus fibrosa,Adnataria,-29.30222222,152.6447222
Eucalyptus fibrosa,Adnataria,-29.30222222,152.6447222
Eucalyptus fibrosa,Adnataria,-29.30222222,152.6447222
Eucalyptus kabiana,Exsertaria,-26.895,152.8808333
Eucalyptus kabiana,Exsertaria,-26.895,152.8808333
Eucalyptus kabiana,Exsertaria,-26.895,152.8808333
Eucalyptus elegans,Adnataria,-27.11666667,150.6933333
Eucalyptus elegans,Adnataria,-27.11666667,150.6933333
Eucalyptus elegans,Adnataria,-27.11666667,150.6933333
Eucalyptus argophloia,Adnataria,-26.63111111,150.7347222
Eucalyptus argophloia,Adnataria,-26.63111111,150.7347222
Eucalyptus argophloia,Adnataria,-26.63111111,150.7347222
Eucalyptus amplifolia subsp. sessiliflora,Exsertaria,-29.07972222,152.0044444
Eucalyptus amplifolia subsp. sessiliflora,Exsertaria,-29.07972222,152.0044444
Eucalyptus amplifolia subsp. sessiliflora,Exsertaria,-29.07972222,152.0044444
Eucalyptus sideroxylon,Adnataria,-28.90083333,151.9077778
Eucalyptus sideroxylon,Adnataria,-28.90083333,151.9077778
Eucalyptus sideroxylon,Adnataria,-28.90083333,151.9077778
Eucalyptus nubilis,Adnataria,-27.05611111,150.5094444
Eucalyptus nubilis,Adnataria,-27.05611111,150.5094444
Eucalyptus nubilis,Adnataria,-27.05611111,150.5094444
Eucalyptus paniculata (subsp. matutina),Adnataria,-32.73333333,152.1791667
Eucalyptus paniculata (subsp. matutina),Adnataria,-32.73333333,152.1791667
Eucalyptus paniculata (subsp. matutina),Adnataria,-32.73333333,152.1791667
Eucalyptus amplifolia subsp. amplifolia,Exsertaria,-35.09472222,150.1155556
Eucalyptus amplifolia subsp. amplifolia,Exsertaria,-35.09472222,150.1155556
Eucalyptus amplifolia subsp. amplifolia,Exsertaria,-35.09472222,150.1155556
Eucalyptus dura,Adnataria,-26.3525,150.8680556
Eucalyptus dura,Adnataria,-26.3525,150.8680556
Eucalyptus dura,Adnataria,-26.3525,150.8680556
Eucalyptus panda,Adnataria,-27.1325,150.4833333
Eucalyptus panda,Adnataria,-27.1325,150.4833333
Eucalyptus panda,Adnataria,-27.1325,150.4833333
Eucalyptus siderophloia,Adnataria,-26.13555556,152.5805556
Eucalyptus siderophloia,Adnataria,-26.13555556,152.5805556
Eucalyptus siderophloia,Adnataria,-26.13555556,152.5805556
Eucalyptus cambageana,Adnataria,-24.70666667,150.0144444
Eucalyptus cambageana,Adnataria,-24.70666667,150.0144444
Eucalyptus cambageana,Adnataria,-24.70666667,150.0144444
Eucalyptus orgadophila,Adnataria,-24.57694444,148.9005556
Eucalyptus orgadophila,Adnataria,-24.57694444,148.9005556
Eucalyptus orgadophila,Adnataria,-24.57694444,148.9005556
Eucalyptus parramattensis subsp. decadens,Exsertaria,-32.78305556,151.8872222
Eucalyptus parramattensis subsp. decadens,Exsertaria,-32.78305556,151.8872222
Eucalyptus parramattensis subsp. decadens,Exsertaria,-32.78305556,151.8872222
Eucalyptus hallii,Exsertaria,-25.17,152.3722222
Eucalyptus hallii,Exsertaria,-25.17,152.3722222
Eucalyptus hallii,Exsertaria,-25.17,152.3722222
Eucalyptus ancophila,Adnataria,-30.81638889,152.8533333
Eucalyptus ancophila,Adnataria,-30.81638889,152.8533333
Eucalyptus ancophila,Adnataria,-30.81638889,152.8533333
Eucalyptus populnea subsp. populnea,Adnataria,-27.11666667,150.6933333
Eucalyptus populnea subsp. populnea,Adnataria,-27.11666667,150.6933333
Eucalyptus populnea subsp. populnea,Adnataria,-27.11666667,150.6933333
Eucalyptus vicina,Exsertaria,-31.55111111,146.6913889
Eucalyptus vicina,Exsertaria,-31.55111111,146.6913889
Eucalyptus vicina,Exsertaria,-31.55111111,146.6913889
Eucalyptus interstans,Exsertaria,-28.92888889,152.3938889
Eucalyptus interstans,Exsertaria,-28.92888889,152.3938889
Eucalyptus interstans,Exsertaria,-28.92888889,152.3938889
Eucalyptus fusiformis,Adnataria,-30.9025,152.8533333
Eucalyptus fusiformis,Adnataria,-30.9025,152.8533333
Eucalyptus fusiformis,Adnataria,-30.9025,152.8533333
Eucalyptus fergusonii subsp. fergusonii,Adnataria,-32.24861111,152.1916667
Eucalyptus fergusonii subsp. fergusonii,Adnataria,-32.24861111,152.1916667
Eucalyptus fergusonii subsp. fergusonii,Adnataria,-32.24861111,152.1916667
Eucalyptus victrix,Adnataria,-24.01777778,113.4880556
Eucalyptus victrix,Adnataria,-24.01777778,113.4880556
Eucalyptus normantonensis,Adnataria,-23.63583333,132.5672222
Eucalyptus normantonensis,Adnataria,-23.63583333,132.5672222
Eucalyptus normantonensis,Adnataria,-23.63583333,132.5672222
Eucalyptus camaldulensis subsp. arida,Exsertaria,-23.20416667,131.5602778
