UniqueID,Yearplanted,RowTree,Current.name,TaxonoriginalDN,Section,PackedForSequencing,Diam.1.Bark,Diam.2.Bark,Diam.1.peeled,Diam.2.peeled,Volume.wood,Leaf.dry.weight,Wood.dry.weight,Taxonsimplified_DN,Acceptedname_ALA,Note.Gbif,Taxonresolution_ALA,Collector,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2019Scale,Drought2020,Drought2020Scale,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted,Drought2006Scale,latitude,longitude,Binomial.Dean.Nicolle,Stateoccurrence,Regeneration.Strategy,CCA,ai_et0,et0_yr,AICorrected,MAT,TWQ,TCQ,MAP,PWM,PDM,PS,PWarmQ,PDQ,PWetQ,PCQ,MDR,ISOT,TS,MaxTWM,MinTCM,TAR,MTWQ,MeanTDQ,et0_yr_corrected,PrecDeficit,ConsevationStatusNSW
NA,1993,R029/T06,Eucalyptus flindersii,Eucalyptus flindersii,Exsertaria,x,9.24,9.14,7.03,7.31,2.13,3.2845,1.38,Eucalyptus flindersii,Eucalyptus flindersii,,Species,-,"Devils Peak, SA",32,24,53,137,59,17,29,6,Alive,None evident,0,Slight,1,?,None evident,,,,,None evident,Flowered,Flowered,1993,0,-32.41472222,137.9880556,Eucalyptus flindersii,SA,Lignotuber,Y,1907,2265,0.1907,16.23333,22.85,9.55,432,51,22,29.47174,143,72,78,143,12.4,46.26866,542.022,30.9,4.1,26.8,9.55,22.6,0.2265,431.7735,
NA,1993,R029/T07,Eucalyptus flindersii,Eucalyptus flindersii,Exsertaria,x,8.01,7.67,5.55,6.24,1.39,3.2047,0.94,Eucalyptus flindersii,Eucalyptus flindersii,,Species,-,"Devils Peak, SA",32,24,53,137,59,17,29,7,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1993,0,-32.41472222,137.9880556,Eucalyptus flindersii,SA,Lignotuber,Y,1907,2265,0.1907,16.23333,22.85,9.55,432,51,22,29.47174,143,72,78,143,12.4,46.26866,542.022,30.9,4.1,26.8,9.55,22.6,0.2265,431.7735,
NA,1993,R029/T09,Eucalyptus flindersii,Eucalyptus flindersii,Exsertaria,x,7.96,7.73,6.67,6.15,1.74,2.6534,1.12,Eucalyptus flindersii,Eucalyptus flindersii,,Species,-,"Devils Peak, SA",32,24,53,137,59,17,29,9,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1993,0,-32.41472222,137.9880556,Eucalyptus flindersii,SA,Lignotuber,Y,1907,2265,0.1907,16.23333,22.85,9.55,432,51,22,29.47174,143,72,78,143,12.4,46.26866,542.022,30.9,4.1,26.8,9.55,22.6,0.2265,431.7735,
545,1994,R039/T09,Eucalyptus lucasii,Eucalyptus lucasii,Adnataria,x,8.27,8.45,6.43,6.09,1.23,3.9716,0.89,Eucalyptus lucasii,Eucalyptus lucasii,,Species,D.Nicolle,"Wiluna, WA",26,35,28,120,6,59,39,9,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-26.59111111,120.1163889,Eucalyptus lucasii,WA,Lignotuber,Y,911,3015,0.0911,21.86667,29.85,13.38333,275,45,4,50.25203,109,24,104,57,14.31667,43.78186,668.5409,38.3,5.6,32.7,29.26667,18.1,0.3015,274.6985,
545,1994,R039/T11,Eucalyptus lucasii,Eucalyptus lucasii,Adnataria,x,7.5,7.34,5.63,5.27,1.21,4.1702,0.84,Eucalyptus lucasii,Eucalyptus lucasii,,Species,D.Nicolle,"Wiluna, WA",26,35,28,120,6,59,39,11,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-26.59111111,120.1163889,Eucalyptus lucasii,WA,Lignotuber,Y,911,3015,0.0911,21.86667,29.85,13.38333,275,45,4,50.25203,109,24,104,57,14.31667,43.78186,668.5409,38.3,5.6,32.7,29.26667,18.1,0.3015,274.6985,
545,1994,R039/T12,Eucalyptus lucasii,Eucalyptus lucasii,Adnataria,x,10.76,9.79,7.57,8.46,2.63,2.9318,1.93,Eucalyptus lucasii,Eucalyptus lucasii,,Species,D.Nicolle,"Wiluna, WA",26,35,28,120,6,59,39,12,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-26.59111111,120.1163889,Eucalyptus lucasii,WA,Lignotuber,Y,911,3015,0.0911,21.86667,29.85,13.38333,275,45,4,50.25203,109,24,104,57,14.31667,43.78186,668.5409,38.3,5.6,32.7,29.26667,18.1,0.3015,274.6985,
482,1994,R040/T12,Eucalyptus porosa,Eucalyptus porosa,Adnataria,x,8.05,8.59,6.57,6.65,1.73,1.6411,1.17,Eucalyptus porosa,Eucalyptus porosa,,Species,D.Nicolle,"Mt Wudinna, SA",32,59,9,135,32,49,40,12,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-32.98583333,135.5469444,Eucalyptus porosa,"SA,Vic,NSW",Combination,Y,1605,2080,0.1605,16.8875,22.51667,11.15,334,43,12,39.51138,125,42,48,124,14.50833,53.93433,462.0071,32,5.1,26.9,11.88333,22.31667,0.208,333.792,
482,1994,R040/T14,Eucalyptus porosa,Eucalyptus porosa,Adnataria,x,8.67,7.93,6.25,7.29,1.76,1.2349,1.35,Eucalyptus porosa,Eucalyptus porosa,,Species,D.Nicolle,"Mt Wudinna, SA",32,59,9,135,32,49,40,14,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-32.98583333,135.5469444,Eucalyptus porosa,"SA,Vic,NSW",Combination,Y,1605,2080,0.1605,16.8875,22.51667,11.15,334,43,12,39.51138,125,42,48,124,14.50833,53.93433,462.0071,32,5.1,26.9,11.88333,22.31667,0.208,333.792,
482,1994,R040/T15,Eucalyptus porosa,Eucalyptus porosa,Adnataria,x,10.83,11.25,9.09,8.98,2.36,2.4295,1.77,Eucalyptus porosa,Eucalyptus porosa,,Species,D.Nicolle,"Mt Wudinna, SA",32,59,9,135,32,49,40,15,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-32.98583333,135.5469444,Eucalyptus porosa,"SA,Vic,NSW",Combination,Y,1605,2080,0.1605,16.8875,22.51667,11.15,334,43,12,39.51138,125,42,48,124,14.50833,53.93433,462.0071,32,5.1,26.9,11.88333,22.31667,0.208,333.792,
427,1994,R042/T08,Eucalyptus sparsa,Eucalyptus sparsa,Adnataria,x,7.58,7.49,5.99,6.11,1.45,2.8952,1.03,Eucalyptus sparsa,Eucalyptus sparsa,,Species,D.Nicolle,"Everard Ranges, SA",27,0,34,132,30,56,42,8,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-27.00944444,132.5155556,Eucalyptus sparsa,"SA,WA,NT",Lignotuber,Y,956,2886,0.0956,19.7625,26.9,12.03333,276,38,12,34.03615,103,45,92,46,13.675,45.73579,603.1212,34.8,4.9,29.9,26.28333,12.73333,0.2886,275.7114,
