,RowTree,d13C,totalN,totalC,CurrentName,Voucher,Provenance.x,YearPlanted,FieldID,DNNumber,Taxon,Collector,Collector.s..,Latitude.degrees..south.,Latitude.minutes..south.,Latitude.seconds..south.,Longitude.degrees..east.,Longitude.minutes..east.,Longitude.seconds..east.,Row,Tree,Status.in.Feb.2016,Drought.stress..June.2019.,Time.since.death..June.2019.,X2006.dieback.death,Maturity.at.June.2019,UniqueID,Yearplanted,Current.name,TaxonoriginalDN,Section,Diam.1.Bark,Diam.1.peeled,Diam.2.Bark,Diam.2.peeled,bark.thickness,WD,Volume.wood,Leaf.dry.weight,Wood.dry.weight,Provenance.y,Drought2006Scale,latitude,longitude,Stateoccurrence,Regeneration.Strategy,ai_et0,et0_yr,AICorrected,MAT,TWQ,TCQ,MAP,PWM,PDM,PS,PWarmQ,PDQ,PWetQ,PCQ,MDR,ISOT,TS,MaxTWM,MinTCM,TAR,MTWQ,MeanTDQ,et0_yr_corrected,PrecDeficit,ConsevationStatusNSW
1,R029/T06,-26.99,1.2,48,Eucalyptus flindersii,-,"Devils Peak, SA",1993,CCA0475,NA,Eucalyptus flindersii,-,-,32,24,53,137,59,17,29,6,Alive,None evident,,None evident,Flowered,NA,1993,Eucalyptus flindersii,Eucalyptus flindersii,Exsertaria,9.24,7.03,9.14,7.31,2.02,1.542018779,2.13,3.2845,1.38,"Devils Peak, SA",0,-32.41472222,137.9880556,SA,Lignotuber,1907,2265,0.1907,16.23333,22.85,9.55,432,51,22,29.47174,143,72,78,143,12.4,46.26866,542.022,30.9,4.1,26.8,9.55,22.6,0.2265,431.7735,
2,R029/T07,-26.25,1,48.4,Eucalyptus flindersii,-,"Devils Peak, SA",1993,CCA0476,NA,Eucalyptus flindersii,-,-,32,24,53,137,59,17,29,7,Alive,None evident,,None evident,Flowered,NA,1993,Eucalyptus flindersii,Eucalyptus flindersii,Exsertaria,8.01,5.55,7.67,6.24,1.945,2.305539568,1.39,3.2047,0.94,"Devils Peak, SA",0,-32.41472222,137.9880556,SA,Lignotuber,1907,2265,0.1907,16.23333,22.85,9.55,432,51,22,29.47174,143,72,78,143,12.4,46.26866,542.022,30.9,4.1,26.8,9.55,22.6,0.2265,431.7735,
3,R029/T09,-26.37,1.4,49.1,Eucalyptus flindersii,-,"Devils Peak, SA",1993,CCA0478,NA,Eucalyptus flindersii,-,-,32,24,53,137,59,17,29,9,Alive,None evident,,None evident,Flowered,NA,1993,Eucalyptus flindersii,Eucalyptus flindersii,Exsertaria,7.96,6.67,7.73,6.15,1.435,1.524942529,1.74,2.6534,1.12,"Devils Peak, SA",0,-32.41472222,137.9880556,SA,Lignotuber,1907,2265,0.1907,16.23333,22.85,9.55,432,51,22,29.47174,143,72,78,143,12.4,46.26866,542.022,30.9,4.1,26.8,9.55,22.6,0.2265,431.7735,
10,R039/T09,-26.56,1.7,49.8,Eucalyptus lucasii,DN 545,"Wiluna, WA",1994,CCA0499,545,Eucalyptus lucasii,D.Nicolle,545,26,35,28,120,6,59,39,9,Alive,None evident,,None evident,Flowered,545,1994,Eucalyptus lucasii,Eucalyptus lucasii,Adnataria,8.27,6.43,8.45,6.09,2.1,3.228943089,1.23,3.9716,0.89,"Wiluna, WA",0,-26.59111111,120.1163889,WA,Lignotuber,911,3015,0.0911,21.86667,29.85,13.38333,275,45,4,50.25203,109,24,104,57,14.31667,43.78186,668.5409,38.3,5.6,32.7,29.26667,18.1,0.3015,274.6985,
11,R039/T11,-25.84,1.5,50.5,Eucalyptus lucasii,DN 545,"Wiluna, WA",1994,CCA0501,545,Eucalyptus lucasii,D.Nicolle,545,26,35,28,120,6,59,39,11,Alive,None evident,,None evident,Flowered,545,1994,Eucalyptus lucasii,Eucalyptus lucasii,Adnataria,7.5,5.63,7.34,5.27,1.97,3.446446281,1.21,4.1702,0.84,"Wiluna, WA",0,-26.59111111,120.1163889,WA,Lignotuber,911,3015,0.0911,21.86667,29.85,13.38333,275,45,4,50.25203,109,24,104,57,14.31667,43.78186,668.5409,38.3,5.6,32.7,29.26667,18.1,0.3015,274.6985,
12,R039/T12,-25.41,1.4,48.7,Eucalyptus lucasii,DN 545,"Wiluna, WA",1994,CCA0502,545,Eucalyptus lucasii,D.Nicolle,545,26,35,28,120,6,59,39,12,Alive,None evident,,None evident,Flowered,545,1994,Eucalyptus lucasii,Eucalyptus lucasii,Adnataria,10.76,7.57,9.79,8.46,2.26,1.114752852,2.63,2.9318,1.93,"Wiluna, WA",0,-26.59111111,120.1163889,WA,Lignotuber,911,3015,0.0911,21.86667,29.85,13.38333,275,45,4,50.25203,109,24,104,57,14.31667,43.78186,668.5409,38.3,5.6,32.7,29.26667,18.1,0.3015,274.6985,
13,R040/T12,-28.61,1.5,49.1,Eucalyptus porosa,DN 482,"Mt Wudinna, SA",1994,CCA0525,482,Eucalyptus porosa,D.Nicolle,482,32,59,9,135,32,49,40,12,Alive,None evident,,None evident,Flowered,482,1994,Eucalyptus porosa,Eucalyptus porosa,Adnataria,8.05,6.57,8.59,6.65,1.71,0.948612717,1.73,1.6411,1.17,"Mt Wudinna, SA",0,-32.98583333,135.5469444,"SA,Vic,NSW",Combination,1605,2080,0.1605,16.8875,22.51667,11.15,334,43,12,39.51138,125,42,48,124,14.50833,53.93433,462.0071,32,5.1,26.9,11.88333,22.31667,0.208,333.792,
14,R040/T14,-27.29,1.3,50.2,Eucalyptus porosa,DN 482,"Mt Wudinna, SA",1994,CCA0527,482,Eucalyptus porosa,D.Nicolle,482,32,59,9,135,32,49,40,14,Alive,None evident,,None evident,Flowered,482,1994,Eucalyptus porosa,Eucalyptus porosa,Adnataria,8.67,6.25,7.93,7.29,1.53,0.701647727,1.76,1.2349,1.35,"Mt Wudinna, SA",0,-32.98583333,135.5469444,"SA,Vic,NSW",Combination,1605,2080,0.1605,16.8875,22.51667,11.15,334,43,12,39.51138,125,42,48,124,14.50833,53.93433,462.0071,32,5.1,26.9,11.88333,22.31667,0.208,333.792,
15,R040/T15,-30.39,1.1,50.3,Eucalyptus porosa,DN 482,"Mt Wudinna, SA",1994,CCA0528,482,Eucalyptus porosa,D.Nicolle,482,32,59,9,135,32,49,40,15,Alive,None evident,,None evident,Flowered,482,1994,Eucalyptus porosa,Eucalyptus porosa,Adnataria,10.83,9.09,11.25,8.98,2.005,1.029449153,2.36,2.4295,1.77,"Mt Wudinna, SA",0,-32.98583333,135.5469444,"SA,Vic,NSW",Combination,1605,2080,0.1605,16.8875,22.51667,11.15,334,43,12,39.51138,125,42,48,124,14.50833,53.93433,462.0071,32,5.1,26.9,11.88333,22.31667,0.208,333.792,
19,R042/T08,-25.6,1,50.6,Eucalyptus sparsa,DN 427,"Everard Ranges, SA",1994,CCA0572,427,Eucalyptus sparsa,D.Nicolle,427,27,0,34,132,30,56,42,8,Alive,None evident,,None evident,Flowered,427,1994,Eucalyptus sparsa,Eucalyptus sparsa,Adnataria,7.58,5.99,7.49,6.11,1.485,1.996689655,1.45,2.8952,1.03,"Everard Ranges, SA",0,-27.00944444,132.5155556,"SA,WA,NT",Lignotuber,956,2886,0.0956,19.7625,26.9,12.03333,276,38,12,34.03615,103,45,92,46,13.675,45.73579,603.1212,34.8,4.9,29.9,26.28333,12.73333,0.2886,275.7114,
