"","RowTree","d13C","totalN","totalC","UniqueID","Yearplanted","Current.name","TaxonoriginalDN","Section","PackedForSequencing","Diam.1.Bark","Diam.2.Bark","Diam.1.peeled","Diam.2.peeled","Volume.wood","Leaf.dry.weight","Wood.dry.weight","Taxonsimplified_DN","Acceptedname_ALA","Note.Gbif","Taxonresolution_ALA","Collector","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2019Scale","Drought2020","Drought2020Scale","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted.1","Drought2006Scale","latitude","longitude","Binomial.Dean.Nicolle","Stateoccurrence","Regeneration.Strategy","CCA","ai_et0","et0_yr","AICorrected","MAT","TWQ","TCQ","MAP","PWM","PDM","PS","PWarmQ","PDQ","PWetQ","PCQ","MDR","ISOT","TS","MaxTWM","MinTCM","TAR","MTWQ","MeanTDQ","et0_yr_corrected","PrecDeficit","ConsevationStatusNSW"
"1","R052/T10",-30.57,1,50,674,1994,"Eucalyptus sideroxylon","Eucalyptus sideroxylon","Adnataria","x",7.42,7.44,6.48,5.85,1.51,2.9939,0.95,"Eucalyptus sideroxylon","Eucalyptus sideroxylon","","Species","D.Nicolle","Wallangarra, Qld",28,54,3,151,54,28,52,10,"Alive","None evident","0","None evident","0","?","","","","","","None evident","","",1994,"0",-28.90083333,151.9077778,"Eucalyptus sideroxylon","NSW,Vic,Qld","Combination","Y",5225,1609,0.5225,15.20833,20.73333,8.95,841,110,37,36.45587,318,134,318,134,12.35,49.00793,476.1247,27.2,2,25.2,20.73333,8.95,0.1609,840.8391,""
"2","R052/T12",-30.01,1.4,51.4,674,1994,"Eucalyptus sideroxylon","Eucalyptus sideroxylon","Adnataria","x",9.01,9.27,7.22,7.42,1.73,2.0786,1.11,"Eucalyptus sideroxylon","Eucalyptus sideroxylon","","Species","D.Nicolle","Wallangarra, Qld",28,54,3,151,54,28,52,12,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-28.90083333,151.9077778,"Eucalyptus sideroxylon","NSW,Vic,Qld","Combination","Y",5225,1609,0.5225,15.20833,20.73333,8.95,841,110,37,36.45587,318,134,318,134,12.35,49.00793,476.1247,27.2,2,25.2,20.73333,8.95,0.1609,840.8391,""
"3","R053/T05",-28.64,1.2,50.1,685,1994,"EucalyptusÂ fibrosaÂ subsp.Â nubilis","Eucalyptus nubilis","Adnataria","x",9.59,10.09,7.23,7.47,1.97,3.729,1.34,"Eucalyptus nubilis","Eucalyptus fibrosa subsp. nubilis","","Subspecies","D.Nicolle","Tara, Qld",27,3,22,150,30,34,53,5,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-27.05611111,150.5094444,"Eucalyptus nubilis","Qld,NSW","Combination","Y",3134,1962,0.3134,18.95417,24.86667,12.05,615,91,25,41.93191,241,87,241,87,12.79167,47.90886,519.9802,31.4,4.7,26.7,24.86667,12.05,0.1962,614.8038,""
"4","R053/T06",-30.2,0.9,50.3,685,1994,"EucalyptusÂ fibrosaÂ subsp.Â nubilis","Eucalyptus nubilis","Adnataria","x",10.43,10.5,9.06,79,2.67,4.6829,1.87,"Eucalyptus nubilis","Eucalyptus fibrosa subsp. nubilis","","Subspecies","D.Nicolle","Tara, Qld",27,3,22,150,30,34,53,6,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-27.05611111,150.5094444,"Eucalyptus nubilis","Qld,NSW","Combination","Y",3134,1962,0.3134,18.95417,24.86667,12.05,615,91,25,41.93191,241,87,241,87,12.79167,47.90886,519.9802,31.4,4.7,26.7,24.86667,12.05,0.1962,614.8038,""
"5","R053/T08",-30.63,0.7,50.5,685,1994,"EucalyptusÂ fibrosaÂ subsp.Â nubilis","Eucalyptus nubilis","Adnataria","x",8.42,8.28,6.5,6.36,1.61,5.8074,1.09,"Eucalyptus nubilis","Eucalyptus fibrosa subsp. nubilis","","Subspecies","D.Nicolle","Tara, Qld",27,3,22,150,30,34,53,8,"Alive","None evident","0","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-27.05611111,150.5094444,"Eucalyptus nubilis","Qld,NSW","Combination","Y",3134,1962,0.3134,18.95417,24.86667,12.05,615,91,25,41.93191,241,87,241,87,12.79167,47.90886,519.9802,31.4,4.7,26.7,24.86667,12.05,0.1962,614.8038,""
"6","R053/T09",-28.94,1.2,50.6,639,1994,"Eucalyptus paniculata","Eucalyptus paniculata (subsp. matutina)","Adnataria","x",11.27,12,8.58,9.65,3.75,1.7422,2.48,"Eucalyptus paniculata","Eucalyptus paniculata","","Species","D.Nicolle","Nelson Bay, NSW",32,44,0,152,10,45,53,9,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-32.73333333,152.1791667,"Eucalyptus paniculata","NSW","Combination","Y",8180,1590,0.818,18.075,22.05,13.68333,1301,151,73,24.49396,421,243,295,337,7.766666,46.23016,341.2111,26,9.2,16.8,16.68333,15.65,0.159,1300.841,""
"7","R053/T10",-27.84,0.9,49.4,639,1994,"Eucalyptus paniculata","Eucalyptus paniculata (subsp. matutina)","Adnataria","x",9.38,8.8,7.24,7.69,2.4,3.3035,1.7,"Eucalyptus paniculata","Eucalyptus paniculata","","Species","D.Nicolle","Nelson Bay, NSW",32,44,0,152,10,45,53,10,"Alive","None evident","0","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-32.73333333,152.1791667,"Eucalyptus paniculata","NSW","Combination","Y",8180,1590,0.818,18.075,22.05,13.68333,1301,151,73,24.49396,421,243,295,337,7.766666,46.23016,341.2111,26,9.2,16.8,16.68333,15.65,0.159,1300.841,""
"8","R053/T11",-27.77,1,49.7,639,1994,"Eucalyptus paniculata","Eucalyptus paniculata (subsp. matutina)","Adnataria","x",9.68,10.25,6.93,7.81,2.1,3.3312,1.46,"Eucalyptus paniculata","Eucalyptus paniculata","","Species","D.Nicolle","Nelson Bay, NSW",32,44,0,152,10,45,53,11,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-32.73333333,152.1791667,"Eucalyptus paniculata","NSW","Combination","Y",8180,1590,0.818,18.075,22.05,13.68333,1301,151,73,24.49396,421,243,295,337,7.766666,46.23016,341.2111,26,9.2,16.8,16.68333,15.65,0.159,1300.841,""
"9","R053/T17",-28.02,1.4,50,604,1994,"Eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","Exsertaria","x",10.09,10.47,7.79,8.43,2.81,4.3584,1.54,"Eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","","Subspecies","D.Nicolle","Nerriga, NSW",35,5,41,150,6,56,53,17,"Alive","Slight","1","Moderate","2","?","Scattered","Secondary & tertiary branches","3 - 6 months","None evident","","Slight","","",1994,"1",-35.09472222,150.1155556,"Eucalyptus amplifolia subsp. amplifolia","NSW","Combination","Y",6038,1366,0.6038,13.0625,18.53333,7.3,825,90,48,16.69861,241,166,209,186,11.425,48.0042,451.5132,25.2,1.4,23.8,18.26667,8.233334,0.1366,824.8634,""
"10","R053/T18",-27.67,1.5,50.1,604,1994,"Eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","Exsertaria","x",8.85,8.62,7.63,6.9,1.91,5.4911,1.17,"Eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","","Subspecies","D.Nicolle","Nerriga, NSW",35,5,41,150,6,56,53,18,"Alive","Slight","1","Moderate","2","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-35.09472222,150.1155556,"Eucalyptus amplifolia subsp. amplifolia","NSW","Combination","Y",6038,1366,0.6038,13.0625,18.53333,7.3,825,90,48,16.69861,241,166,209,186,11.425,48.0042,451.5132,25.2,1.4,23.8,18.26667,8.233334,0.1366,824.8634,""
